tag,arm,fold,kind,n_te,sse,sstot,auc,secs,bss,설정,model,shared_from
base,shuffle2,0,C,869183,63229.59375,73083.59375,0.7776536695533404,342.4,0.13483190267993628,"순환 이중 잠재 (귀무2, 정합비교)",,
base,real,4,C,856770,62281.828125,72333.28125,0.7855963759607871,278.7,0.1389602815094193,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,2,C,867192,63009.68359375,73266.7734375,0.7823192447413554,321.6,0.13999647265072723,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,3,C,898456,65137.046875,75049.609375,0.7772388749089525,324.9,0.13208013449437095,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,3,B,898456,64859.5625,75049.609375,0.7827025181720048,289.9,0.13577748052069727,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,0,B,869183,62768.18359375,73083.59375,0.7847033443935145,295.2,0.14114536008637368,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,3,A,898456,65167.51953125,75049.609375,0.7769448323382755,311.8,0.13167410098528576,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,native CDLD A
base,real,1,B,870947,63262.28125,73727.5390625,0.7891333498390126,316.4,0.1419450309283813,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,4,B,856770,62663.5234375,72333.28125,0.7765029926819798,287.9,0.1336833839886118,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,2,B,867192,62659.7421875,73266.7734375,0.7880973517104738,288.9,0.1447727360213057,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,3,B,898456,65218.40625,75049.609375,0.776749132392924,283.8,0.1309960598978801,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,4,A,856770,62661.97265625,72333.28125,0.7780772644166684,305.2,0.13370482337616896,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,native CDLD A
base,real,0,C,869183,62657.0703125,73083.59375,0.7860623583180892,314.1,0.14266571883652068,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,1,C,870947,63472.640625,73727.5390625,0.782265433159997,320.6,0.1390918314635019,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,2,C,867192,62626.0859375,73266.7734375,0.78850451265631,315.3,0.1452321018213939,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,2,B,867192,62972.9453125,73266.7734375,0.7828543447685749,302.0,0.1404979043301411,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,4,B,856770,62672.0,72333.28125,0.7764494057302417,295.7,0.13356619640423129,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,1,B,870947,63639.3046875,73727.5390625,0.782831667526866,299.7,0.1368312913095885,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,1,C,870947,63026.96875,73727.5390625,0.7892145263330135,312.5,0.14513668092771903,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,2,C,867192,63014.79296875,73266.7734375,0.7822274346479462,317.9,0.13992673605990613,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,4,C,856770,62651.91796875,72333.28125,0.7791740584906413,312.2,0.13384382837257225,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,4,C,856770,62639.890625,72333.28125,0.7791992519128705,324.4,0.13401010513400424,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,3,C,898456,64740.7109375,75049.609375,0.7838948742487792,320.7,0.1373611205088301,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,0,B,869183,63078.9765625,73083.59375,0.7794033956621236,304.3,0.1368927918586379,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,0,C,869183,63024.8984375,73083.59375,0.7801029453029408,318.4,0.13763274076132848,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle1,3,C,898456,65154.171875,75049.609375,0.7770823993006304,305.7,0.13185195209418765,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,real,2,A,867192,62962.515625,73266.7734375,0.7821780612970914,304.0,0.1406402565453495,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,native CDLD A
base,shuffle0,1,B,870947,63648.671875,73727.5390625,0.7825252273805652,300.0,0.13670423990357228,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
base,shuffle0,1,C,870947,63564.44921875,73727.5390625,0.7822087485918797,324.0,0.13784658993072574,분해 정합 변종 CDLD-A 1차(붕괴),CDLD-A,
