tag,arm,fold,kind,n_te,r2,auc,sse,sstot,secs
wardX,real,1,A,870947,0.14460516311906435,0.7893500438471359,63066.15625,73727.5390625,375.5
wardX,real,2,A,867192,0.14672653350390008,0.7889166587886638,62516.59375,73266.7734375,374.8
wardX,real,3,A,898456,0.1368589526719306,0.7838939727071107,64778.3984375,75049.609375,351.9
wardX,real,4,A,856770,0.13881166389088706,0.7836774987567422,62292.578125,72333.28125,383.6
wardX,real,0,B,869183,0.14740590291511224,0.7932193185043861,62310.640625,73083.59375,385.1
wardX,real,1,B,870947,0.15349150297362812,0.7983542377770937,62410.98828125,73727.5390625,391.4
wardX,real,2,B,867192,0.15297163714750894,0.7970000606295885,62059.03515625,73266.7734375,354.0
wardX,real,3,B,898456,0.1432521196916623,0.7924432285194799,64298.59375,75049.609375,359.2
wardX,real,4,B,856770,0.14579820405976673,0.7946468002520517,61787.21875,72333.28125,361.5
wardX,shuffle0,0,B,869183,0.14115049119693845,0.7847918694554584,62767.80859375,73083.59375,337.0
wardX,shuffle0,1,B,870947,0.1433136680927719,0.7877470527821973,63161.375,73727.5390625,339.7
wardX,shuffle0,2,B,867192,0.1456920007758462,0.7885230799814483,62592.390625,73266.7734375,334.5
wardX,shuffle0,3,B,898456,0.13592040681424267,0.7828753623475847,64848.8359375,75049.609375,322.9
wardX,shuffle0,4,B,856770,0.13820542065482477,0.7832092434786115,62336.4296875,72333.28125,336.9
wardX,shuffle1,0,B,869183,0.1407820133195078,0.7848788004169159,62794.73828125,73083.59375,336.5
wardX,shuffle1,1,B,870947,0.1433842404333947,0.7883138933397545,63156.171875,73727.5390625,341.7
wardX,shuffle1,2,B,867192,0.14519264839845225,0.7882325765080128,62628.9765625,73266.7734375,327.5
wardX,shuffle1,3,B,898456,0.13573401968489596,0.7828405522411782,64862.82421875,75049.609375,311.7
wardX,shuffle1,4,B,856770,0.13848515875947487,0.7836839159787289,62316.1953125,72333.28125,337.6
wardX,shuffle2,0,B,869183,0.14058120516959394,0.7847473214923107,62809.4140625,73083.59375,316.4
wardX,shuffle2,1,B,870947,0.14315959574552628,0.7878012675340055,63172.734375,73727.5390625,337.1
wardX,shuffle2,2,B,867192,0.145690667889936,0.788630982938122,62592.48828125,73266.7734375,340.2
wardX,shuffle2,3,B,898456,0.13611038531804487,0.7832036050095025,64834.578125,75049.609375,323.5
wardX,shuffle2,4,B,856770,0.13816551207194128,0.7828805853127265,62339.31640625,72333.28125,335.4
wardX,real,0,C,869183,0.1519090938244947,0.7955299809654144,61981.53125,73083.59375,404.4
wardX,real,1,C,870947,0.1568770149807277,0.7999607623769998,62161.3828125,73727.5390625,411.1
wardX,real,2,C,867192,0.15734600875844662,0.7995432171113187,61738.5390625,73266.7734375,406.7
wardX,real,3,C,898456,0.14692489863475722,0.7938687354418098,64022.953125,75049.609375,392.9
wardX,real,4,C,856770,0.1507375257326654,0.796985969674129,61429.94140625,72333.28125,400.7
wardX,shuffle0,0,C,869183,0.13961404427720825,0.7829815376334959,62880.09765625,73083.59375,340.1
wardX,shuffle0,1,C,870947,0.14237429301826565,0.7863512401589853,63230.6328125,73727.5390625,348.5
wardX,shuffle0,2,C,867192,0.1453867165869761,0.7878526692844361,62614.7578125,73266.7734375,369.8
wardX,shuffle0,3,C,898456,0.1339353656695832,0.7807324919463619,64997.8125,75049.609375,355.6
wardX,shuffle0,4,C,856770,0.13776912641786176,0.7823779642516276,62367.98828125,72333.28125,370.1
wardX,shuffle1,0,C,869183,0.13962692550268851,0.783905630059859,62879.15625,73083.59375,342.3
wardX,shuffle1,1,C,870947,0.14236284885492134,0.7871781889415513,63231.4765625,73727.5390625,345.2
wardX,shuffle1,2,C,867192,0.1446923896586394,0.7876911926810463,62665.62890625,73266.7734375,344.1
wardX,shuffle1,3,C,898456,0.13437601170059388,0.7815148144322784,64964.7421875,75049.609375,336.8
wardX,shuffle1,4,C,856770,0.13833627112346714,0.7841745336846272,62326.96484375,72333.28125,375.2
wardX,shuffle2,0,C,869183,0.14007322522368437,0.7840434335626376,62846.5390625,73083.59375,349.0
wardX,shuffle2,1,C,870947,0.14219913374041349,0.7864595758023248,63243.546875,73727.5390625,370.1
wardX,shuffle2,2,C,867192,0.14522549070727941,0.7879730324058526,62626.5703125,73266.7734375,343.0
wardX,shuffle2,3,C,898456,0.1345907654832481,0.7811871807177182,64948.625,75049.609375,325.9
wardX,shuffle2,4,C,856770,0.13798098212916343,0.7838386380837001,62352.6640625,72333.28125,370.6
